[CONFIG] STEP6.1
STEP1_CSV:             /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step1/pdb/pdb_assemblies.csv | exists=True
STEP5_REMAP_CSV:       /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step5/pdb/pdb_assemblies_remapped.csv | exists=True
STEP5_CHAIN_MAP_CSV:   /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step5/pdb/chain_map.csv | exists=True
STEP5_PDB_DIR:         /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step5/pdb/1_mhc_configured | exists=True
ORIGINAL_LIST_CSV:     /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/problematic_list.csv | exists=True
ORIGINAL_CONTACTS_CSV: /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/problematic_mhc_contacts.csv | exists=True
ORIGINAL_BINDER_CSV:   /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/problematic_binder_contacts.csv | exists=True
MANUAL_LIGANDS_CSV:    /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/manual_problematic_ligands.csv | exists=True
POSSIBLE_LIGANDS_CSV:  /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/possible_ligands.csv | exists=True
Output dir:            /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/2_trimmed_mhc

[INIT] problematic_list_current.csv
[INIT] problematic_mhc_contacts_current.csv
[INIT] problematic_binder_contacts_current.csv
[CSV] remapped=      1173
[CSV] duplicate_pdbs= 9
[CSV] problematic=   165
[CSV] mhc_contacts=  164
[CSV] binder_auto=   5
[CSV] manual_rows=   22

[START] STEP6.1
[SAVED] 8RLV: non-problematic trimmed; trimmed_removed=134; output=8rlv_trimmed_mhc.pdb
[SAVED] 1SYV: non-problematic trimmed; trimmed_removed=542; output=1syv_trimmed_mhc.pdb
[SAVED] 3W0W: non-problematic trimmed; trimmed_removed=210; output=3w0w_trimmed_mhc.pdb
[SAVED] 7DZM: non-problematic trimmed; trimmed_removed=207; output=7dzm_trimmed_mhc.pdb
[SAVED] 4PRH: non-problematic trimmed; trimmed_removed=72; output=4prh_trimmed_mhc.pdb
[SAVED] 3KPL: non-problematic trimmed; trimmed_removed=298; output=3kpl_trimmed_mhc.pdb
[SAVED] 6ULR: non-problematic trimmed; trimmed_removed=102; output=6ulr_trimmed_mhc.pdb
[SAVED] 6O53: non-problematic trimmed; trimmed_removed=356; output=6o53_trimmed_mhc.pdb
[SAVED] 6UJQ: non-problematic trimmed; trimmed_removed=149; output=6ujq_trimmed_mhc.pdb
[SAVED] 3BVN: non-problematic trimmed; trimmed_removed=182; output=3bvn_trimmed_mhc.pdb
[SAVED] 6VRM: non-problematic trimmed; trimmed_removed=101; output=6vrm_trimmed_mhc.pdb
[SAVED] 2FYY: non-problematic trimmed; trimmed_removed=321; output=2fyy_trimmed_mhc.pdb
[SAVED] 6TDS: non-problematic trimmed; trimmed_removed=213; output=6tds_trimmed_mhc.pdb
[SAVED] 1JHT: non-problematic trimmed; trimmed_removed=256; output=1jht_trimmed_mhc.pdb
[SAVED] 5VWH: non-problematic trimmed; trimmed_removed=445; output=5vwh_trimmed_mhc.pdb
[SAVED] 2VLJ: non-problematic trimmed; trimmed_removed=186; output=2vlj_trimmed_mhc.pdb
[SAVED] 1E28: non-problematic trimmed; trimmed_removed=96; output=1e28_trimmed_mhc.pdb
[SAVED] 7UC5: non-problematic trimmed; trimmed_removed=459; output=7uc5_trimmed_mhc.pdb
[SAVED] 5YXU: non-problematic trimmed; trimmed_removed=127; output=5yxu_trimmed_mhc.pdb
[SAVED] 2X4Q: non-problematic trimmed; trimmed_removed=213; output=2x4q_trimmed_mhc.pdb
[SAVED] 4NO3: non-problematic trimmed; trimmed_removed=375; output=4no3_trimmed_mhc.pdb
[SAVED] 3CDG: non-problematic trimmed; trimmed_removed=95; output=3cdg_trimmed_mhc.pdb
[SAVED] 8WUL: non-problematic trimmed; trimmed_removed=127; output=8wul_trimmed_mhc.pdb
[SAVED] 3D18: non-problematic trimmed; trimmed_removed=371; output=3d18_trimmed_mhc.pdb
[SAVED] 4UQ2: non-problematic trimmed; trimmed_removed=187; output=4uq2_trimmed_mhc.pdb
[SAVED] 1ZHK: non-problematic trimmed; trimmed_removed=426; output=1zhk_trimmed_mhc.pdb
[SAVED] 8VCL: non-problematic trimmed; trimmed_removed=238; output=8vcl_trimmed_mhc.pdb
[SAVED] 6D29: non-problematic trimmed; trimmed_removed=439; output=6d29_trimmed_mhc.pdb
[SAVED] 4U1J: non-problematic trimmed; trimmed_removed=407; output=4u1j_trimmed_mhc.pdb
[SAVED] 7L1D: non-problematic trimmed; trimmed_removed=94; output=7l1d_trimmed_mhc.pdb
[SAVED] 8CX4: non-problematic trimmed; trimmed_removed=126; output=8cx4_trimmed_mhc.pdb
[SAVED] 4U1S: non-problematic trimmed; trimmed_removed=291; output=4u1s_trimmed_mhc.pdb
[SAVED] 3LKQ: non-problematic trimmed; trimmed_removed=292; output=3lkq_trimmed_mhc.pdb
[SAVED] 6RPA: non-problematic trimmed; trimmed_removed=128; output=6rpa_trimmed_mhc.pdb
[SAVED] 8GOM: non-problematic trimmed; trimmed_removed=139; output=8gom_trimmed_mhc.pdb
[SAVED] 5NME: non-problematic trimmed; trimmed_removed=112; output=5nme_trimmed_mhc.pdb
[SAVED] 6VR5: non-problematic trimmed; trimmed_removed=174; output=6vr5_trimmed_mhc.pdb
[SAVED] 3KPM: non-problematic trimmed; trimmed_removed=521; output=3kpm_trimmed_mhc.pdb
[SAVED] 7TUE: non-problematic trimmed; trimmed_removed=94; output=7tue_trimmed_mhc.pdb
[SAVED] 3FFC: non-problematic trimmed; trimmed_removed=105; output=3ffc_trimmed_mhc.pdb
[SAVED] 7PDW: non-problematic trimmed; trimmed_removed=228; output=7pdw_trimmed_mhc.pdb
[SAVED] 4MJ5: non-problematic trimmed; trimmed_removed=238; output=4mj5_trimmed_mhc.pdb
[SAVED] 6AT9: non-problematic trimmed; trimmed_removed=94; output=6at9_trimmed_mhc.pdb
[SAVED] 1XR8: non-problematic trimmed; trimmed_removed=271; output=1xr8_trimmed_mhc.pdb
[SAVED] 4JFQ: non-problematic trimmed; trimmed_removed=368; output=4jfq_trimmed_mhc.pdb
[SAVED] 7RE8: non-problematic trimmed; trimmed_removed=120; output=7re8_trimmed_mhc.pdb
[DUPLICATES] 3DTX: removed_chains=['B']
[SAVED] 3DTX: non-problematic trimmed; trimmed_removed=245; output=3dtx_trimmed_mhc.pdb
[SKIPPED] 3DTX: already present in 2_trimmed_mhc
[SAVED] 5T70: non-problematic trimmed; trimmed_removed=243; output=5t70_trimmed_mhc.pdb
[SAVED] 7R7W: non-problematic trimmed; trimmed_removed=562; output=7r7w_trimmed_mhc.pdb
[SAVED] 6VQ2: non-problematic trimmed; trimmed_removed=289; output=6vq2_trimmed_mhc.pdb
[SAVED] 6DKP: non-problematic trimmed; trimmed_removed=95; output=6dkp_trimmed_mhc.pdb
[SAVED] 9ASF: non-problematic trimmed; trimmed_removed=463; output=9asf_trimmed_mhc.pdb
[SAVED] 2X4T: non-problematic trimmed; trimmed_removed=165; output=2x4t_trimmed_mhc.pdb
[SAVED] 7K81: non-problematic trimmed; trimmed_removed=183; output=7k81_trimmed_mhc.pdb
[SAVED] 5IEK: non-problematic trimmed; trimmed_removed=485; output=5iek_trimmed_mhc.pdb
[SAVED] 3DX8: non-problematic trimmed; trimmed_removed=270; output=3dx8_trimmed_mhc.pdb
[SAVED] 5GSD: non-problematic trimmed; trimmed_removed=275; output=5gsd_trimmed_mhc.pdb
[SAVED] 6VQO: non-problematic trimmed; trimmed_removed=94; output=6vqo_trimmed_mhc.pdb
[SAVED] 6V2O: non-problematic trimmed; trimmed_removed=491; output=6v2o_trimmed_mhc.pdb
[SAVED] 6PZ5: non-problematic trimmed; trimmed_removed=460; output=6pz5_trimmed_mhc.pdb
[SAVED] 5MEQ: non-problematic trimmed; trimmed_removed=175; output=5meq_trimmed_mhc.pdb
[SAVED] 4LNR: non-problematic trimmed; trimmed_removed=438; output=4lnr_trimmed_mhc.pdb
[SAVED] 4JFO: non-problematic trimmed; trimmed_removed=232; output=4jfo_trimmed_mhc.pdb
[SAVED] 6K60: non-problematic trimmed; trimmed_removed=85; output=6k60_trimmed_mhc.pdb
[SAVED] 4PRE: non-problematic trimmed; trimmed_removed=492; output=4pre_trimmed_mhc.pdb
[SAVED] 8REF: non-problematic trimmed; trimmed_removed=214; output=8ref_trimmed_mhc.pdb
[SAVED] 6UZM: non-problematic trimmed; trimmed_removed=439; output=6uzm_trimmed_mhc.pdb
[SAVED] 3LKS: non-problematic trimmed; trimmed_removed=236; output=3lks_trimmed_mhc.pdb
[SAVED] 6BJ8: non-problematic trimmed; trimmed_removed=306; output=6bj8_trimmed_mhc.pdb
[SAVED] 3MRL: non-problematic trimmed; trimmed_removed=131; output=3mrl_trimmed_mhc.pdb
[SAVED] 1ZSD: non-problematic trimmed; trimmed_removed=402; output=1zsd_trimmed_mhc.pdb
[SAVED] 4QRQ: non-problematic trimmed; trimmed_removed=539; output=4qrq_trimmed_mhc.pdb
[SAVED] 3MV7: non-problematic trimmed; trimmed_removed=230; output=3mv7_trimmed_mhc.pdb
[SAVED] 1JGD: non-problematic trimmed; trimmed_removed=415; output=1jgd_trimmed_mhc.pdb
[SAVED] 6TMO: non-problematic trimmed; trimmed_removed=225; output=6tmo_trimmed_mhc.pdb
[SAVED] 7R80: non-problematic trimmed; trimmed_removed=156; output=7r80_trimmed_mhc.pdb
[SAVED] 7K80: non-problematic trimmed; trimmed_removed=122; output=7k80_trimmed_mhc.pdb
[SAVED] 6Q3K: non-problematic trimmed; trimmed_removed=535; output=6q3k_trimmed_mhc.pdb
[SAVED] 1ZHL: non-problematic trimmed; trimmed_removed=528; output=1zhl_trimmed_mhc.pdb
[SAVED] 2YPK: non-problematic trimmed; trimmed_removed=470; output=2ypk_trimmed_mhc.pdb
[SAVED] 3VCL: non-problematic trimmed; trimmed_removed=401; output=3vcl_trimmed_mhc.pdb
[SAVED] 7R7Y: non-problematic trimmed; trimmed_removed=513; output=7r7y_trimmed_mhc.pdb
[SAVED] 8F7M: non-problematic trimmed; trimmed_removed=396; output=8f7m_trimmed_mhc.pdb
[SAVED] 8DNT: non-problematic trimmed; trimmed_removed=95; output=8dnt_trimmed_mhc.pdb
[SAVED] 1W0W: non-problematic trimmed; trimmed_removed=415; output=1w0w_trimmed_mhc.pdb
[SAVED] 7PHR: non-problematic trimmed; trimmed_removed=95; output=7phr_trimmed_mhc.pdb
[SAVED] 5VGD: non-problematic trimmed; trimmed_removed=188; output=5vgd_trimmed_mhc.pdb
[SAVED] 8WTE: non-problematic trimmed; trimmed_removed=217; output=8wte_trimmed_mhc.pdb
[SAVED] 7STF: non-problematic trimmed; trimmed_removed=97; output=7stf_trimmed_mhc.pdb
[SAVED] 7EU2: non-problematic trimmed; trimmed_removed=100; output=7eu2_trimmed_mhc.pdb
[SAVED] 9ASG: non-problematic trimmed; trimmed_removed=387; output=9asg_trimmed_mhc.pdb
[SAVED] 6VR1: non-problematic trimmed; trimmed_removed=256; output=6vr1_trimmed_mhc.pdb
[SAVED] 1M6O: non-problematic trimmed; trimmed_removed=569; output=1m6o_trimmed_mhc.pdb
[SAVED] 9BL3: non-problematic trimmed; trimmed_removed=280; output=9bl3_trimmed_mhc.pdb
[SAVED] 6EWA: non-problematic trimmed; trimmed_removed=102; output=6ewa_trimmed_mhc.pdb
[SAVED] 5XOS: non-problematic trimmed; trimmed_removed=457; output=5xos_trimmed_mhc.pdb
[SAVED] 6PYL: non-problematic trimmed; trimmed_removed=418; output=6pyl_trimmed_mhc.pdb
[SAVED] 6Y26: non-problematic trimmed; trimmed_removed=586; output=6y26_trimmed_mhc.pdb
[MHC_MANUAL] 7ST3: moved ligand groups to chains=['C']
[SAVED] 7ST3: action=move; new_ligand_chains=['C']; moved=5; trimmed_removed=173; output=7st3_trimmed_mhc.pdb
[SAVED] 5DEF: non-problematic trimmed; trimmed_removed=505; output=5def_trimmed_mhc.pdb
[SAVED] 2AK4: non-problematic trimmed; trimmed_removed=125; output=2ak4_trimmed_mhc.pdb
[SAVED] 1I1Y: non-problematic trimmed; trimmed_removed=159; output=1i1y_trimmed_mhc.pdb
[SAVED] 5WMQ: non-problematic trimmed; trimmed_removed=435; output=5wmq_trimmed_mhc.pdb
[SAVED] 6NCA: non-problematic trimmed; trimmed_removed=95; output=6nca_trimmed_mhc.pdb
[SAVED] 4U1H: non-problematic trimmed; trimmed_removed=337; output=4u1h_trimmed_mhc.pdb
[SAVED] 3VH8: non-problematic trimmed; trimmed_removed=451; output=3vh8_trimmed_mhc.pdb
[SAVED] 1W0V: non-problematic trimmed; trimmed_removed=405; output=1w0v_trimmed_mhc.pdb
[SAVED] 5GRG: non-problematic trimmed; trimmed_removed=271; output=5grg_trimmed_mhc.pdb
[SAVED] 2HJK: non-problematic trimmed; trimmed_removed=342; output=2hjk_trimmed_mhc.pdb
[SAVED] 3VFO: non-problematic trimmed; trimmed_removed=415; output=3vfo_trimmed_mhc.pdb
[MHC_MANUAL] 7SSH: moved ligand groups to chains=['C']
[SAVED] 7SSH: action=move; new_ligand_chains=['C']; moved=10; trimmed_removed=196; output=7ssh_trimmed_mhc.pdb
[SAVED] 3L3I: non-problematic trimmed; trimmed_removed=473; output=3l3i_trimmed_mhc.pdb
[SAVED] 6PA1: non-problematic trimmed; trimmed_removed=92; output=6pa1_trimmed_mhc.pdb
[SAVED] 3HLA: non-problematic trimmed; trimmed_removed=120; output=3hla_trimmed_mhc.pdb
[SAVED] 2X4O: non-problematic trimmed; trimmed_removed=206; output=2x4o_trimmed_mhc.pdb
[MHC_MANUAL] 9C6X: moved ligand groups to chains=['B']
[SAVED] 9C6X: action=move; new_ligand_chains=['B']; moved=13; trimmed_removed=449; output=9c6x_trimmed_mhc.pdb
[SAVED] 1HHJ: non-problematic trimmed; trimmed_removed=95; output=1hhj_trimmed_mhc.pdb
[SAVED] 7ALO: non-problematic trimmed; trimmed_removed=293; output=7alo_trimmed_mhc.pdb
[SAVED] 5B38: non-problematic trimmed; trimmed_removed=197; output=5b38_trimmed_mhc.pdb
[MHC_MANUAL] 7SQP: moved ligand groups to chains=['C']
[SAVED] 7SQP: action=move; new_ligand_chains=['C']; moved=13; trimmed_removed=233; output=7sqp_trimmed_mhc.pdb
[SAVED] 2PYE: non-problematic trimmed; trimmed_removed=231; output=2pye_trimmed_mhc.pdb
[SAVED] 3KPS: non-problematic trimmed; trimmed_removed=99; output=3kps_trimmed_mhc.pdb
[SAVED] 3LKR: non-problematic trimmed; trimmed_removed=213; output=3lkr_trimmed_mhc.pdb
[SAVED] 6VQE: non-problematic trimmed; trimmed_removed=368; output=6vqe_trimmed_mhc.pdb
[SAVED] 3B3I: non-problematic trimmed; trimmed_removed=407; output=3b3i_trimmed_mhc.pdb
[SAVED] 5GRD: non-problematic trimmed; trimmed_removed=384; output=5grd_trimmed_mhc.pdb
[SAVED] 6G3K: non-problematic trimmed; trimmed_removed=105; output=6g3k_trimmed_mhc.pdb
[SAVED] 2X4R: non-problematic trimmed; trimmed_removed=212; output=2x4r_trimmed_mhc.pdb
[SAVED] 8GVB: non-problematic trimmed; trimmed_removed=94; output=8gvb_trimmed_mhc.pdb
[SAVED] 8VJZ: non-problematic trimmed; trimmed_removed=414; output=8vjz_trimmed_mhc.pdb
[SAVED] 4PRD: non-problematic trimmed; trimmed_removed=393; output=4prd_trimmed_mhc.pdb
[SAVED] 4L3C: non-problematic trimmed; trimmed_removed=104; output=4l3c_trimmed_mhc.pdb
[SAVED] 6D78: non-problematic trimmed; trimmed_removed=187; output=6d78_trimmed_mhc.pdb
[SAVED] 8V4Z: non-problematic trimmed; trimmed_removed=150; output=8v4z_trimmed_mhc.pdb
[SKIPPED] 8RHQ: already present in 2_trimmed_mhc
[SAVED] 6VRN: non-problematic trimmed; trimmed_removed=203; output=6vrn_trimmed_mhc.pdb
[MHC_MANUAL] 8TNJ: moved ligand groups to chains=['F']
[SAVED] 8TNJ: action=move; new_ligand_chains=['F']; moved=9; trimmed_removed=195; output=8tnj_trimmed_mhc.pdb
[SAVED] 5NMG: non-problematic trimmed; trimmed_removed=128; output=5nmg_trimmed_mhc.pdb
[SAVED] 9BL9: non-problematic trimmed; trimmed_removed=105; output=9bl9_trimmed_mhc.pdb
[SAVED] 4QRU: non-problematic trimmed; trimmed_removed=518; output=4qru_trimmed_mhc.pdb
[SAVED] 3KPR: non-problematic trimmed; trimmed_removed=115; output=3kpr_trimmed_mhc.pdb
[SAVED] 2CIK: non-problematic trimmed; trimmed_removed=345; output=2cik_trimmed_mhc.pdb
[SAVED] 4K7F: non-problematic trimmed; trimmed_removed=547; output=4k7f_trimmed_mhc.pdb
[SAVED] 7T0L: non-problematic trimmed; trimmed_removed=96; output=7t0l_trimmed_mhc.pdb
[SAVED] 3KWW: non-problematic trimmed; trimmed_removed=376; output=3kww_trimmed_mhc.pdb
[SAVED] 2BVQ: non-problematic trimmed; trimmed_removed=322; output=2bvq_trimmed_mhc.pdb
[SAVED] 3VFM: non-problematic trimmed; trimmed_removed=402; output=3vfm_trimmed_mhc.pdb
[SAVED] 2BSS: non-problematic trimmed; trimmed_removed=234; output=2bss_trimmed_mhc.pdb
[SAVED] 3L3D: non-problematic trimmed; trimmed_removed=513; output=3l3d_trimmed_mhc.pdb
[SAVED] 2NW3: non-problematic trimmed; trimmed_removed=420; output=2nw3_trimmed_mhc.pdb
[SAVED] 7X1B: non-problematic trimmed; trimmed_removed=473; output=7x1b_trimmed_mhc.pdb
[SAVED] 3QDG: non-problematic trimmed; trimmed_removed=104; output=3qdg_trimmed_mhc.pdb
[SAVED] 4JQX: non-problematic trimmed; trimmed_removed=242; output=4jqx_trimmed_mhc.pdb
[SAVED] 5MER: non-problematic trimmed; trimmed_removed=240; output=5mer_trimmed_mhc.pdb
[SAVED] 3DXA: non-problematic trimmed; trimmed_removed=96; output=3dxa_trimmed_mhc.pdb
[SAVED] 2BST: non-problematic trimmed; trimmed_removed=207; output=2bst_trimmed_mhc.pdb
[SAVED] 4QRT: non-problematic trimmed; trimmed_removed=568; output=4qrt_trimmed_mhc.pdb
[SAVED] 9BL4: non-problematic trimmed; trimmed_removed=296; output=9bl4_trimmed_mhc.pdb
[SAVED] 8RJ5: non-problematic trimmed; trimmed_removed=96; output=8rj5_trimmed_mhc.pdb
[SAVED] 6VB3: non-problematic trimmed; trimmed_removed=308; output=6vb3_trimmed_mhc.pdb
[SAVED] 8FJB: non-problematic trimmed; trimmed_removed=93; output=8fjb_trimmed_mhc.pdb
[SAVED] 5D2L: non-problematic trimmed; trimmed_removed=104; output=5d2l_trimmed_mhc.pdb
[SKIPPED] 8RH6: already present in 2_trimmed_mhc
[SAVED] 6EQB: non-problematic trimmed; trimmed_removed=102; output=6eqb_trimmed_mhc.pdb
[SAVED] 6PYW: non-problematic trimmed; trimmed_removed=470; output=6pyw_trimmed_mhc.pdb
[SAVED] 3QEQ: non-problematic trimmed; trimmed_removed=134; output=3qeq_trimmed_mhc.pdb
[SAVED] 7CIR: non-problematic trimmed; trimmed_removed=375; output=7cir_trimmed_mhc.pdb
[SAVED] 5IB5: non-problematic trimmed; trimmed_removed=162; output=5ib5_trimmed_mhc.pdb
[SAVED] 2P5W: non-problematic trimmed; trimmed_removed=327; output=2p5w_trimmed_mhc.pdb
[SAVED] 3MV8: non-problematic trimmed; trimmed_removed=165; output=3mv8_trimmed_mhc.pdb
[SAVED] 3WUW: non-problematic trimmed; trimmed_removed=318; output=3wuw_trimmed_mhc.pdb
[SAVED] 5B39: non-problematic trimmed; trimmed_removed=158; output=5b39_trimmed_mhc.pdb
[MHC_AUTO] 3UPR: [276] -> chain D
[SAVED] 3UPR: action=auto_non_aminoacid_only; new_ligand_chains=['D']; moved=1; trimmed_removed=232; output=3upr_trimmed_mhc.pdb
[SAVED] 3O3D: non-problematic trimmed; trimmed_removed=341; output=3o3d_trimmed_mhc.pdb
[SAVED] 8GVG: non-problematic trimmed; trimmed_removed=94; output=8gvg_trimmed_mhc.pdb
[SAVED] 2C7U: non-problematic trimmed; trimmed_removed=164; output=2c7u_trimmed_mhc.pdb
[SAVED] 4GKN: non-problematic trimmed; trimmed_removed=119; output=4gkn_trimmed_mhc.pdb
[SAVED] 1KTL: non-problematic trimmed; trimmed_removed=96; output=1ktl_trimmed_mhc.pdb
[SAVED] 6Y2B: non-problematic trimmed; trimmed_removed=591; output=6y2b_trimmed_mhc.pdb
[SAVED] 2X4U: non-problematic trimmed; trimmed_removed=201; output=2x4u_trimmed_mhc.pdb
[SAVED] 3SKM: non-problematic trimmed; trimmed_removed=415; output=3skm_trimmed_mhc.pdb
[SAVED] 8RCV: non-problematic trimmed; trimmed_removed=336; output=8rcv_trimmed_mhc.pdb
[SAVED] 6Y29: non-problematic trimmed; trimmed_removed=574; output=6y29_trimmed_mhc.pdb
[SAVED] 4EUP: non-problematic trimmed; trimmed_removed=98; output=4eup_trimmed_mhc.pdb
[SAVED] 3LV3: non-problematic trimmed; trimmed_removed=336; output=3lv3_trimmed_mhc.pdb
[SAVED] 2AXF: non-problematic trimmed; trimmed_removed=478; output=2axf_trimmed_mhc.pdb
[SAVED] 3BP7: non-problematic trimmed; trimmed_removed=473; output=3bp7_trimmed_mhc.pdb
[SAVED] 3KPN: non-problematic trimmed; trimmed_removed=416; output=3kpn_trimmed_mhc.pdb
[SAVED] 1TMC: non-problematic trimmed; trimmed_removed=71; output=1tmc_trimmed_mhc.pdb
[SAVED] 3QDJ: non-problematic trimmed; trimmed_removed=119; output=3qdj_trimmed_mhc.pdb
[SAVED] 5WMR: non-problematic trimmed; trimmed_removed=496; output=5wmr_trimmed_mhc.pdb
[SAVED] 7RE7: non-problematic trimmed; trimmed_removed=128; output=7re7_trimmed_mhc.pdb
[SKIPPED] 8RHQ: already present in 2_trimmed_mhc
[SAVED] 5DEG: non-problematic trimmed; trimmed_removed=372; output=5deg_trimmed_mhc.pdb
[SAVED] 5IB1: non-problematic trimmed; trimmed_removed=202; output=5ib1_trimmed_mhc.pdb
[SAVED] 4G9D: non-problematic trimmed; trimmed_removed=475; output=4g9d_trimmed_mhc.pdb
[SAVED] 8VRA: non-problematic trimmed; trimmed_removed=97; output=8vra_trimmed_mhc.pdb
[SAVED] 2VLR: non-problematic trimmed; trimmed_removed=186; output=2vlr_trimmed_mhc.pdb
[SAVED] 3BP4: non-problematic trimmed; trimmed_removed=451; output=3bp4_trimmed_mhc.pdb
[SAVED] 6VQD: non-problematic trimmed; trimmed_removed=463; output=6vqd_trimmed_mhc.pdb
[SAVED] 8HN4: non-problematic trimmed; trimmed_removed=96; output=8hn4_trimmed_mhc.pdb
[SAVED] 1M05: non-problematic trimmed; trimmed_removed=365; output=1m05_trimmed_mhc.pdb
[SAVED] 7DYN: non-problematic trimmed; trimmed_removed=455; output=7dyn_trimmed_mhc.pdb
[SAVED] 6Y28: non-problematic trimmed; trimmed_removed=552; output=6y28_trimmed_mhc.pdb
[SAVED] 7CIS: non-problematic trimmed; trimmed_removed=297; output=7cis_trimmed_mhc.pdb
[SAVED] 1KPR: non-problematic trimmed; trimmed_removed=96; output=1kpr_trimmed_mhc.pdb
[SAVED] 4G9F: non-problematic trimmed; trimmed_removed=270; output=4g9f_trimmed_mhc.pdb
[SAVED] 5D2N: non-problematic trimmed; trimmed_removed=206; output=5d2n_trimmed_mhc.pdb
[SAVED] 1A1M: non-problematic trimmed; trimmed_removed=231; output=1a1m_trimmed_mhc.pdb
[SAVED] 3BO8: non-problematic trimmed; trimmed_removed=478; output=3bo8_trimmed_mhc.pdb
[MHC_MANUAL] 9C6W: moved ligand groups to chains=['B']
[SAVED] 9C6W: action=move; new_ligand_chains=['B']; moved=11; trimmed_removed=418; output=9c6w_trimmed_mhc.pdb
[SAVED] 6EI2: non-problematic trimmed; trimmed_removed=416; output=6ei2_trimmed_mhc.pdb
[SAVED] 6Y27: non-problematic trimmed; trimmed_removed=557; output=6y27_trimmed_mhc.pdb
[SAVED] 4G8I: non-problematic trimmed; trimmed_removed=439; output=4g8i_trimmed_mhc.pdb
[SAVED] 8ESB: non-problematic trimmed; trimmed_removed=93; output=8esb_trimmed_mhc.pdb
[SAVED] 8RRO: non-problematic trimmed; trimmed_removed=95; output=8rro_trimmed_mhc.pdb
[SAVED] 6VPZ: non-problematic trimmed; trimmed_removed=305; output=6vpz_trimmed_mhc.pdb
[MHC_MANUAL] 6APN: moved ligand groups to chains=['B']
[SAVED] 6APN: action=move; new_ligand_chains=['B']; moved=12; trimmed_removed=292; output=6apn_trimmed_mhc.pdb
[SAVED] 1UXW: non-problematic trimmed; trimmed_removed=528; output=1uxw_trimmed_mhc.pdb
[SAVED] 8YIV: non-problematic trimmed; trimmed_removed=238; output=8yiv_trimmed_mhc.pdb
[MHC_MANUAL] 9C6V: moved ligand groups to chains=['B']
[SAVED] 9C6V: action=move; new_ligand_chains=['B']; moved=11; trimmed_removed=360; output=9c6v_trimmed_mhc.pdb
[SAVED] 3CZF: non-problematic trimmed; trimmed_removed=592; output=3czf_trimmed_mhc.pdb
[SAVED] 1HSA: non-problematic trimmed; trimmed_removed=245; output=1hsa_trimmed_mhc.pdb
[SAVED] 5IB4: non-problematic trimmed; trimmed_removed=247; output=5ib4_trimmed_mhc.pdb
[SAVED] 2A83: non-problematic trimmed; trimmed_removed=569; output=2a83_trimmed_mhc.pdb
[SAVED] 2BSR: non-problematic trimmed; trimmed_removed=219; output=2bsr_trimmed_mhc.pdb
[DUPLICATES] 8T7R: removed_chains=['E', 'G']
[SAVED] 8T7R: non-problematic trimmed; trimmed_removed=2; output=8t7r_trimmed_mhc.pdb
[SAVED] 1OF2: non-problematic trimmed; trimmed_removed=350; output=1of2_trimmed_mhc.pdb
[SAVED] 8VR9: non-problematic trimmed; trimmed_removed=94; output=8vr9_trimmed_mhc.pdb
[SAVED] 8T6M: non-problematic trimmed; trimmed_removed=1; output=8t6m_trimmed_mhc.pdb
[SAVED] 7CIQ: non-problematic trimmed; trimmed_removed=468; output=7ciq_trimmed_mhc.pdb
[SAVED] 5VGE: non-problematic trimmed; trimmed_removed=112; output=5vge_trimmed_mhc.pdb
[SAVED] 6UON: non-problematic trimmed; trimmed_removed=94; output=6uon_trimmed_mhc.pdb
[SAVED] 8YJ2: non-problematic trimmed; trimmed_removed=205; output=8yj2_trimmed_mhc.pdb
[SAVED] 5IB2: non-problematic trimmed; trimmed_removed=418; output=5ib2_trimmed_mhc.pdb
[SAVED] 3B6S: non-problematic trimmed; trimmed_removed=499; output=3b6s_trimmed_mhc.pdb
[SAVED] 1OGT: non-problematic trimmed; trimmed_removed=586; output=1ogt_trimmed_mhc.pdb
[SAVED] 7N2Q: non-problematic trimmed; trimmed_removed=110; output=7n2q_trimmed_mhc.pdb
[SAVED] 6Y2A: non-problematic trimmed; trimmed_removed=603; output=6y2a_trimmed_mhc.pdb
[SAVED] 8V50: non-problematic trimmed; trimmed_removed=155; output=8v50_trimmed_mhc.pdb
[SAVED] 8GVI: non-problematic trimmed; trimmed_removed=94; output=8gvi_trimmed_mhc.pdb
[SAVED] 3CII: non-problematic trimmed; trimmed_removed=94; output=3cii_trimmed_mhc.pdb
[SAVED] 7QPD: non-problematic trimmed; trimmed_removed=96; output=7qpd_trimmed_mhc.pdb
